,text_id,text,label
2944,hasoc_en_2945,@MollyJongFast And of course they placed Hillary at the top of the list.  #TrumpIsATraitor   #TrumpsWorseThanNixon,HOF
235,hasoc_en_236,"Makes sense, which is tragic. #TrumpisaCriminal #TrumpisaTraitor https://t.co/U9nk6Fmei2",NOT
2594,hasoc_en_2595,@FFan__ @mahan_saria Why does it not rain when England is playing? I'm telling you... They're controlling the rain with cloud computing. Hi tech fixing is going on under the nose of ICC.  #ENGvsWI #ShameOnICC,NOT
1235,hasoc_en_1236,"@realDonaldTrump Tremendous crowds? I was there this afternoon, and this was the scene 😂😂😂. Check out the protests tomorrow #fucktrump https://t.co/jYqM2q7n9b",NOT
981,hasoc_en_982,prison would be too good for him. #toryscum #murderer  #Grenfell  https://t.co/4WXWQZ5Mwq,NOT
5182,hasoc_en_5183,"#ShameOnICC they must be really ashamed of their self poor management, decisions and etc people are not interested anymore in this boring cricket world cup ever I'm pissed off",NOT
1242,hasoc_en_1243,Trump waves text of Mexico deal in front of reporters — but refuses to detail what it says #Resist #ResistTrump #FuckTrump https://t.co/mDEQzNTBLN,NOT
1063,hasoc_en_1064,A very good initiative taken by @AdvTahirSDPI By filing PIL against Mansoor Khan founder and director of IMA group.  May Allah Help you brother @AdvTahirSDPI and may everyone get their hard earned money back.    #IMAJewels #IMAFraud #IMA #IMAFraudCase    https://t.co/uFeCruJFK0,NOT
3621,hasoc_en_3622,@BarryLowday    Whip out the beer cans and REVERSE it    #DICKHEAD,HOF
5149,hasoc_en_5150,@br_CBB Pay Pal Cal better leave some cash for his recruits #cheater #douchebag #prick,NOT
1395,hasoc_en_1396,"@ImranKhanPTI what about @KElectricPk ?  these increased the per unit cost, but u and ur government didn't respond, .  jab zardari faryal ki #KE Ka kuch nhi bigar paye tum log, to Zardari, Faryal ka kuch nhi bigar sakte i can bet,,,  #ImranKhan #imranhataomulkbachao   #imrankhanprimeminister",NOT
2552,hasoc_en_2553,Do you know ?    The strongly flavored Saffron is deep Red in color    #BengalDoctorsStrike #bengal #MamtaBanerjee #DoctorsProtest #DoctorsStrike #DoctorsFightBack #doctors_against_assualt #cpim #Communists #AmitShah #Imafraud #indianmedicalassociation #TMC #Congress #MamataBanerjee https://t.co/fCRsxUv6nC,NOT
667,hasoc_en_668,#ShameOnICC #INDvPAK #PAKvIND   Let's hope the Rain doesn't spoil this. https://t.co/yTgnDPFTJG,NOT
4412,hasoc_en_4413,"So @TheRealOJ32 is now on Twitter and it makes me wonder if his Tweets will make him a Twitter community pillar, or as in real life, a double murdering killer? #OJSimpson #Murderer #Liar",NOT
4263,hasoc_en_4264,"@realDonaldTrump #fucktrump #trump2020 #realdonaldtrump  MORE TARIFFS, DOG VOMIT DON,    TARIFFS TARIFFS THE MUSICAL FRUIT, THE MORE YA TARIFF, THE MORE YA TOOT, THE MORE YA TOOT THE BETTER YA FEEL,    TRUMPERRHOIDS WANT MORE TARIFFS AT EVERY GOD DAMNED MEAL    TARIFFS MAKE AMERICA RICH https://t.co/4CWjPYZUua",HOF
5198,hasoc_en_5199,#trumpisatraitor #cocainmitch have helped russia do this...... are these Patriotic Americans or traitors! What about #cocainmitch blocking cyber-security legislation for the 2020 election! https://t.co/jXZ6ilk91b,HOF
4268,hasoc_en_4269,"@joncoopertweets My dog left something on the lawn he can have, but only if he picks it up. I wouldn’t piss on him if he were on fire, so I’m definitely not going to go to all the trouble of sending it. #fucktrump #JohnMcCainDayJune14",HOF
263,hasoc_en_264,I am not satisfy this verdict.   We want more than this... #Rapist https://t.co/VD0wo8sC5w,NOT
3199,hasoc_en_3200,@ReutersUS Did he call for #Kushner to bring out the #BoneSaws?     #MBS  #MURDERER,NOT
278,hasoc_en_279,@MrsGandhi @harish_purohit @MamataOfficial #DoctorStrike   #DoctorsFightBack   Vs  Aparna Sen and Kaushik Sen intellectuals gangs in #WestBengal     Explained such way   👇👇👇 https://t.co/O2u0KmA1sn,NOT
5669,hasoc_en_5670,@TheRealOJ32 Go away #murderer,HOF
5078,hasoc_en_5079,In case @realDonaldTrump still thinks my people like him. #FuckTrump https://t.co/FvBequHrbc,HOF
4685,hasoc_en_4686,"As I always said, the deals b/w Zameer Ahmed &amp; #IMAFraud Mansoor Khan is out, many other bigwigs are also part of this scam.    I strongly demand the investigation to be handed over to CBI, which is the only ray of hope for the thousands of victims of #IMAJewelsScam. https://t.co/Rz51UNQ9Wa",HOF
182,hasoc_en_183,Correct. Now is not the time for moderation. You cannot be moderate with your head inside the tiger's mouth. #FuckTrump https://t.co/IwEk3oZA1k,NOT
3044,hasoc_en_3045,"Dear doctors,  The respect you get is  NOTHING in front of the hardwork and sacrifices you put in to get that degree.     STOP POLITICIZING THIS PROFESSION . IT HAS NOTHING TO DO WITH POLITICS ,IT'S HUMANITY  Act like humans🙏  #DoctorsFightBack  #IstandwithNRS   #DoctorsUnderOppression",NOT
590,hasoc_en_591,"@BorisJohnson What is more dividing:  the huge gap between the rich and the poor in the UK  https://t.co/uy7yAjz8mi    or whether people can/can't rely on teleconferencing from home?    In any case, the EU is investing is superfast broadband.    #BorisJohnsonShouldNotBePM",NOT
3367,hasoc_en_3368,Worst World Cup #RainStopsMatch #ShameOnICC BCCI can organize the entire world cup more efficiently https://t.co/r7jilqjyej,NOT
4049,hasoc_en_4050,@realDonaldTrump @foxandfriends @FoxNews Too bad they won’t call you out on your lies and treasonous ways. Trump crime family should be locked up! #PutinsPuppet #Trump41 #TrumpIsATraitor,HOF
1811,hasoc_en_1812,"@smitabarooah @TVMohandasPai She is exposed; Now everyone knows why was she not allowed to join party and take responsibility; not without any reason, #Swamy calls her #bottle; competition between Bro-N-Sis for #CongressMuktBharat",NOT
4436,hasoc_en_4437,Guys I don’t trust this “Resister” so about to block him and I would be weary of following him or allowing him to follow you. Feel he is trying to bait... just a heads up! #Resistance #ResistTogether #BlueWave2020 #VoteBlueNoMatterWho #fucktrump https://t.co/qrYXTxaFXO,NOT
5794,hasoc_en_5795,@realDonaldTrump You lie! #TrumpIsATraitor https://t.co/E5A03vAxdf,NOT
475,hasoc_en_476,Why do British people call people they don't like shower bags? #Douchebag,NOT
5796,hasoc_en_5797,@ICC Yes u buggers Look @ d weather during #ENGvsWI  Match. It's a total conspiracy against all other team. #England choose their venue where #Rain chances r Zero. How come eng never faced Rain? #ICCCricketWorldCup2019  #ShameOnICC,NOT
1228,hasoc_en_1229,"#ShameOnICC    If all remaining get washed :   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Bang - 8   SA - 6  Afg - 6    Semi Final  Aus vs NZ  (If rain continues), NZ  Eng vs Ind  (If rain continues), Ind    Final  Ind vs NZ  (If rain continues), NZ - India will win jointly 🤣🤣.",NOT
2906,hasoc_en_2907,"#GandiNaaliAbuse GanDI title suits this GanDHI dynasty of self glorifying worthless Desh Drohi Looters. What is Italian Dalal Sonia Half baked Indian Rahul, Indira is Ganga of BLOOD the blood Sucking Vamp of Emergency. Rajiv was a true Mass Murderer blood Sucker of 1984.",HOF
851,hasoc_en_852,@MattHancock @BorisJohnson Hang on Matt. You’ve already downgraded a promise - with no indication how it will be paid for - TL a pledge. Will it soon be an aspiration. Whatever... it’ll never happen as it’s another Johnson nonsense #BorisJohnsonShouldNotBePM,NOT
543,hasoc_en_544,"@WhiteHouse Maybe if #IdiotTrump waves his freaky baby hands around way more, the magic will totally happen!",NOT
2643,hasoc_en_2644,@msdhoni registers enormous wicket-keeping world record in South Africa match on wednesday.  #ICCWorldCup2019 #indiavssouthafrica #DhoniKeepsTheGlove     Read more here: https://t.co/VGzcQy6Yse,NOT
1256,hasoc_en_1257,@ktumulty #IdiotTrump So assassination is not as bad as what he’s experienced. #GlobalEmbarassmentTrump #TrumpForPrison,NOT
736,hasoc_en_737,ur damp cricket parks not only washed out games but also dumped d morale of players n fans across the globe. #ShameOnICC,NOT
5772,hasoc_en_5773,So poor managment by icc #ShameOnICC,NOT
2111,hasoc_en_2112,What a great ful innings from our team india #MenInBlue  #DhoniKeepsTheGlove #shockedkohilbydhonisix https://t.co/O0Gnre0mzt,NOT
49,hasoc_en_50,@TheRealOJ32 The world will rejoice when you die. #murderer #classless,HOF
4834,hasoc_en_4835,"If you're the kind of person with a vanity plate that says 'TED TLK' on your Tesla, then you're probably the kind of person I would enjoy running over in my 15 year old Hyundai.  #douchebag",HOF
1963,hasoc_en_1964,"#MattHancock withdraws from #Tory leadership race, backs #BorisJohnson    How easily do politicians sell out - their principles, values shifting like lines in quicksand    #BorisJohnsonShouldNotBePM #Brexit    https://t.co/7rIYN61cIg",NOT
1849,hasoc_en_1850,@csmay144k @realDonaldTrump @MarshaBlackburn God Bless a Real American 🇺🇸👍🏆🥇#TrumpIsATraitor   #JohnMcCainDay https://t.co/8s7p070c3F,NOT
4328,hasoc_en_4329,"Doctors doing their job well, treating Didi #DoctorsFightBack #SaveTheDoctors",HOF
3083,hasoc_en_3084,@mkraju Lyin' Ted has been on Pluto the last few days. #TrumpIsATraitor,NOT
4374,hasoc_en_4375,@ICC @imVkohli #shameonicc  Waiting for 4 years for such a grand Tournament and four-matches are abandoned next time be focused on the venue instead on the wicketkeeper's gloves,HOF
4426,hasoc_en_4427,"#Unhinged Trump: Witness to My Crime Can’t Testify, But Trust Me He’s Lying https://t.co/9Q4vMal4zH #TrumpsWorseThanNixon #TrumpIsATraitor #UnfitToBePresident",NOT
5640,hasoc_en_5641,Getting even like a knife to the neck #Murderer https://t.co/ZpitifNWo5,HOF
732,hasoc_en_733,Oh look Socialism!  Our farming conglomerates who will reap the majority of these benefits totally desire this upward accumulation of funds that never make it to the people! #idiotTrump #CorruptGOP #snakes #POTUSignoramus https://t.co/feviFLrm8a,NOT
3442,hasoc_en_3443,@khushi2318 #Pakistan even wore a black band opposing #Israel and @ICC was completely fine with it 🤬🤬🤬    #DhoniKeepsTheGlove #BoycottWorldCup #BoycottICC,NOT
1051,hasoc_en_1052,Official press release of #SaveTheSaviours movement. These are the demands for resuming all duties.     #DoctorsFightBack #Savethedoctors #SaveTheSaviours https://t.co/2XC4BjnnRI,NOT
